"replicate_number","estimated_QST","p_value_pos","p_value_neg","p_value"
129,0.0953525898567343,0.871128871128871,0.12987012987013,0.252
124,0.257176058686597,0.360639360639361,0.64035964035964,0.842
128,0.0403808915424823,0.966033966033966,0.034965034965035,0.094
107,0.0659103747123639,0.931068931068931,0.0699300699300699,0.18
120,0.33527893922253,0.165834165834166,0.835164835164835,0.389
108,0.353188661933639,0.144855144855145,0.856143856143856,0.318
126,0.28967827382806,0.262737262737263,0.738261738261738,0.655
123,0.11679700612388,0.831168831168831,0.16983016983017,0.352
135,0.0905598002755257,0.876123876123876,0.124875124875125,0.233
136,0.14443188097032,0.765234765234765,0.235764235764236,0.428
143,0.335383436689046,0.215784215784216,0.785214785214785,0.433
142,0.189277222250055,0.583416583416583,0.417582417582418,0.72
138,0.115095520041594,0.841158841158841,0.15984015984016,0.325
140,0.277906914987471,0.317682317682318,0.683316683316683,0.712
139,0.261304614507841,0.340659340659341,0.66033966033966,0.773
101,0.412740070495155,0.127872127872128,0.873126873126873,0.201
134,0.255214570679736,0.360639360639361,0.64035964035964,0.852
195,0.0825594071384344,0.914085914085914,0.0869130869130869,0.192
154,0.165575621481108,0.665334665334665,0.335664335664336,0.604
194,0.182700633937337,0.615384615384615,0.385614385614386,0.685
182,0.329777042676857,0.222777222777223,0.778221778221778,0.456
151,0.335966232973996,0.186813186813187,0.814185814185814,0.43
152,0.21042001491605,0.559440559440559,0.441558441558442,0.838
166,0.231356310880996,0.456543456543457,0.544455544455544,0.992
165,0.0957733094211866,0.868131868131868,0.132867132867133,0.287
153,0.266019324557007,0.372627372627373,0.628371628371628,0.836
200,0.254865445798501,0.418581418581419,0.582417582417582,0.905
197,0.239271974860979,0.433566433566434,0.567432567432567,0.981
196,0.350737218285861,0.147852147852148,0.853146853146853,0.317
199,0.108845126701792,0.852147852147852,0.148851148851149,0.288
167,0.135089059109655,0.765234765234765,0.235764235764236,0.398
168,0.509572002078597,0.018981018981019,0.982017982017982,0.018
198,0.022747798849942,0.989010989010989,0.011988011988012,0.042
158,0.132277642743693,0.789210789210789,0.211788211788212,0.406
157,0.236817957313361,0.458541458541459,0.542457542457542,0.996
159,0.274475118887508,0.331668331668332,0.669330669330669,0.704
183,0.22470539747475,0.484515484515485,0.516483516483517,0.958
160,0.181876533269466,0.627372627372627,0.373626373626374,0.679
156,0.192737086924023,0.581418581418581,0.41958041958042,0.761
162,0.0754803966630289,0.917082917082917,0.0839160839160839,0.196
164,0.140345575616085,0.761238761238761,0.23976023976024,0.428
161,0.0618171048193082,0.934065934065934,0.0669330669330669,0.123
